Layer,Name,GEOID,Population,Longitude,Latitude,UMP_2018-2022,EDX_2018-2022,HDX_2018-2022,INC_2018-2022,PCI_2018-2022,POV_2018-2022
,,,,,,"Unemployment rate (%), 2018-2022","Economic Diversity Index, 2018-2022","Hardship Index (score), 2018-2022","Median household income, 2018-2022","Per capita income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Census tract,Tract 204,17031020400,4435,-87.68591180,42.00848800,6.421267893660532,0.7239325034715334,55.13688964,70242.76798509284,42942.28403469465,14.214876033057852
Census tract,Tract 205,17031020500,6599,-87.68419820,42.00131290,7.098765432098765,0.8032881365501148,90.60588955,40296.95938241753,18636.472636926283,31.341653666146644
Census tract,Tract 206.01,17031020601,6699,-87.70180250,42.00087460,6.796487208858343,0.751915387198193,80.53438705,55974.51948800994,31408.30178131724,24.616433685646097
Census tract,Tract 206.02,17031020602,4662,-87.69363730,42.00131560,2.4104683195592287,0.7831739407594573,66.73487628,76873.95962643359,30807.716808269925,12.251779692768828
Census tract,Tract 207.01,17031020701,1879,-87.70368970,41.98689150,8.433734939759036,0.6606362270336725,52.54610029,84378.97948046762,47107.868053861,8.453966415749855
Census tract,Tract 207.02,17031020702,7717,-87.70489390,41.99412560,8.420473307649972,0.8244409972299169,95.75101138,63173.28685197098,22263.822489407485,20.198956690525293
Census tract,Tract 208.01,17031020801,5648,-87.69441490,41.98680810,2.609144923792302,0.7959954568581399,46.7776837,65975.40544377647,31136.892388917233,12.570951585976628
Census tract,Tract 208.02,17031020802,7546,-87.69463060,41.99405920,9.951386903059763,0.7826744714966203,91.97125788,57043.652432396455,20276.848998424986,18.46577859439596
Census tract,Tract 209.01,17031020901,5848,-87.68547360,41.99439220,3.2407407407407405,0.7810402699760348,77.45319409,46068.99358903259,24513.953060183234,20.828613044181907
Census tract,Tract 209.02,17031020902,4488,-87.67868410,41.99425850,2.715193529751589,0.7857217569273935,75.06232948,45325.368530801476,22548.985736152088,23.543868272302777
Census tract,Tract 301.01,17031030101,3687,-87.65487900,41.99105380,21.227115289460663,0.8155379597079502,87.10603067,46484.359990239354,32393.077752390247,20.50042649985783
Census tract,Tract 301.02,17031030102,3121,-87.65502250,41.99302640,7.877571500250878,0.7029725327010855,60.38903001,50492.23314625435,41955.67421637569,26.268951878707973
Census tract,Tract 301.03,17031030103,2104,-87.65515270,41.99552410,8.835027365129006,0.7697313619325281,62.99745978,49224.12777568269,34165.49111559706,23.202614379084967
Census tract,Tract 301.04,17031030104,3521,-87.65598640,41.99727730,12.181528662420382,0.7906454069847295,75.78088249,42054.70196765678,20370.37520796823,28.46975088967972
Census tract,Tract 302,17031030200,5627,-87.66523000,41.99444140,5.968971864317644,0.5654347826086956,17.56985605,83812.3206814703,53804.16127243284,12.134871979805265
